id;age;workclass;fnlwgt;education;education_num;marital_status;occupation;relationship;race;sex;capital_gain;capital_loss;hours_per_week;native_country
10083;34; Private;187215; Bachelors;13; Married-civ-spouse; Prof-specialty; Wife; White; Female;15024;0;36; United-States
10084;29; Self-emp-not-inc;144063; 7th-8th;4; Married-civ-spouse; Farming-fishing; Husband; White; Male;0;0;72; United-States
10085;38; Private;238721; Assoc-acdm;12; Divorced; Exec-managerial; Unmarried; Black; Female;0;0;40; United-States
10086;21; Private;164920; Some-college;10; Never-married; Other-service; Own-child; White; Female;0;0;40; United-States
10087;34; Self-emp-not-inc;152493; HS-grad;9; Married-civ-spouse; Farming-fishing; Husband; White; Male;0;0;70; United-States
10088;50; Private;92968; Bachelors;13; Never-married; Sales; Unmarried; White; Female;0;0;32; United-States
10089;50; Private;136836; HS-grad;9; Divorced; Prof-specialty; Unmarried; Black; Female;0;0;40; United-States
10090;49; Federal-gov;216453; Assoc-voc;11; Divorced; Exec-managerial; Unmarried; Black; Female;0;0;45; United-States
10091;30; Private;349148; Bachelors;13; Never-married; Prof-specialty; Not-in-family; White; Male;0;0;70; United-States
10092;29; State-gov;309620; Masters;14; Married-civ-spouse; Prof-specialty; Husband; Asian-Pac-Islander; Male;0;0;20; Taiwan
10093;22; State-gov;347803; Some-college;10; Never-married; Adm-clerical; Not-in-family; Other; Male;0;0;20; United-States
10094;42; Private;85995; HS-grad;9; Married-civ-spouse; Transport-moving; Husband; White; Male;0;0;50; United-States
10095;19; ?;167428; Some-college;10; Never-married; ?; Own-child; White; Male;0;0;40; United-States
10096;31; Private;164569; Some-college;10; Divorced; Other-service; Unmarried; White; Female;0;0;48; United-States
10097;42; Self-emp-not-inc;308279; Bachelors;13; Married-civ-spouse; Prof-specialty; Husband; White; Male;0;0;21; United-States
10098;20; Private;56322; Some-college;10; Never-married; Other-service; Own-child; White; Male;0;0;20; United-States
10099;51; ?;203015; HS-grad;9; Married-civ-spouse; ?; Husband; White; Male;0;0;40; United-States
10100;50; Private;211654; 10th;6; Married-civ-spouse; Craft-repair; Husband; White; Male;0;0;40; United-States
10101;27; Self-emp-inc;120126; 9th;5; Never-married; Craft-repair; Own-child; White; Male;0;0;40; United-States
10102;26; Private;239043; 11th;7; Never-married; Other-service; Not-in-family; White; Male;0;0;40; United-States
10103;61; ?;179761; HS-grad;9; Married-civ-spouse; ?; Husband; White; Male;0;0;40; United-States
10104;20; Private;312017; Some-college;10; Never-married; Protective-serv; Own-child; White; Male;0;0;40; Germany
10105;51; Private;257485; Some-college;10; Married-civ-spouse; Craft-repair; Husband; White; Male;0;0;40; United-States
10106;52; Private;49243; HS-grad;9; Married-civ-spouse; Machine-op-inspct; Husband; White; Male;0;0;40; United-States
10107;33; Private;229716; HS-grad;9; Divorced; Adm-clerical; Not-in-family; White; Male;0;0;38; United-States
10108;31; Private;341672; Bachelors;13; Married-civ-spouse; Adm-clerical; Husband; Asian-Pac-Islander; Male;0;0;60; India
10109;24; Private;32311; Some-college;10; Married-civ-spouse; Other-service; Wife; White; Female;0;0;40; United-States
10110;56; Private;275236; Bachelors;13; Married-civ-spouse; Machine-op-inspct; Husband; White; Male;0;0;40; United-States
10111;19; ?;400356; Some-college;10; Never-married; ?; Own-child; White; Male;0;0;40; United-States
10112;29; Private;184596; 11th;7; Married-civ-spouse; Craft-repair; Husband; White; Male;3942;0;50; United-States
10113;18; Private;186909; HS-grad;9; Never-married; Sales; Other-relative; White; Female;1055;0;30; United-States
10114;43; Private;152420; Some-college;10; Married-civ-spouse; Machine-op-inspct; Husband; Black; Male;0;0;50; United-States
10115;43; State-gov;261929; Doctorate;16; Married-spouse-absent; Prof-specialty; Unmarried; White; Male;25236;0;64; United-States
10116;21; Private;235442; HS-grad;9; Married-civ-spouse; Adm-clerical; Husband; White; Male;0;0;40; United-States
10117;51; Private;161691; HS-grad;9; Married-civ-spouse; Adm-clerical; Wife; White; Female;0;0;40; United-States
10118;20; ?;173945; 11th;7; Married-civ-spouse; ?; Other-relative; White; Female;0;0;39; United-States
10119;41; Private;355918; Some-college;10; Married-civ-spouse; Transport-moving; Husband; White; Male;0;0;65; United-States
10120;45; State-gov;198660; Some-college;10; Married-civ-spouse; Prof-specialty; Husband; White; Male;0;0;40; United-States
10121;20; Private;122649; HS-grad;9; Never-married; Other-service; Not-in-family; White; Female;0;0;30; United-States
10122;28; Private;421967; Bachelors;13; Married-civ-spouse; Exec-managerial; Wife; White; Female;0;0;60; United-States
10123;50; Local-gov;259377; Masters;14; Married-civ-spouse; Prof-specialty; Wife; White; Female;15024;0;40; United-States
10124;47; Private;74305; Bachelors;13; Divorced; Craft-repair; Not-in-family; White; Male;0;0;40; United-States
10125;80; Self-emp-not-inc;34340; 7th-8th;4; Widowed; Farming-fishing; Not-in-family; White; Male;0;0;35; United-States
10126;47; Self-emp-not-inc;182752; HS-grad;9; Married-civ-spouse; Adm-clerical; Wife; White; Female;0;0;35; Iran
10127;19; ?;48393; Some-college;10; Never-married; ?; Own-child; White; Male;0;0;84; United-States
10128;45; Private;34248; HS-grad;9; Married-civ-spouse; Sales; Husband; White; Male;0;0;50; United-States
10129;17; Private;186677; 11th;7; Never-married; Handlers-cleaners; Own-child; White; Male;0;0;12; United-States
10130;37; Private;167851; HS-grad;9; Married-civ-spouse; Craft-repair; Husband; White; Male;0;0;50; United-States
10131;27; Private;146460; Some-college;10; Never-married; Machine-op-inspct; Not-in-family; White; Female;0;0;40; United-States
10132;17; Private;209650; 12th;8; Never-married; Other-service; Own-child; White; Male;0;0;16; United-States
10133;18; Self-emp-not-inc;132986; HS-grad;9; Never-married; Farming-fishing; Own-child; White; Male;0;0;40; United-States
10134;57; Private;94429; HS-grad;9; Married-civ-spouse; Handlers-cleaners; Husband; White; Male;0;0;40; United-States
10135;26; Private;252406; HS-grad;9; Separated; Adm-clerical; Unmarried; White; Female;0;0;40; United-States
10136;26; Private;174592; Masters;14; Never-married; Exec-managerial; Own-child; White; Female;0;0;40; United-States
10137;36; Self-emp-not-inc;151322; Bachelors;13; Married-civ-spouse; Prof-specialty; Husband; White; Male;0;0;45; United-States
10138;51; Private;37237; HS-grad;9; Married-civ-spouse; Farming-fishing; Husband; White; Male;0;0;80; United-States
10139;38; Private;101192; Some-college;10; Never-married; Other-service; Not-in-family; White; Male;0;0;40; United-States
10140;77; ?;152900; 5th-6th;3; Married-civ-spouse; ?; Husband; White; Male;0;0;20; United-States
10141;51; Private;94081; HS-grad;9; Never-married; Craft-repair; Not-in-family; White; Male;0;0;40; United-States
10142;24; Private;329408; 11th;7; Never-married; Handlers-cleaners; Not-in-family; White; Male;0;0;40; United-States
10143;35; Private;106028; HS-grad;9; Divorced; Farming-fishing; Not-in-family; White; Male;0;0;65; United-States
10144;35; ?;164866; 10th;6; Divorced; ?; Not-in-family; White; Male;0;0;99; United-States
10145;51; Self-emp-inc;167793; Bachelors;13; Married-civ-spouse; Exec-managerial; Husband; White; Male;15024;0;40; United-States
10146;28; Private;138692; Bachelors;13; Married-civ-spouse; Exec-managerial; Husband; White; Male;0;0;40; United-States
10147;37; Private;173968; HS-grad;9; Married-civ-spouse; Transport-moving; Husband; White; Male;0;0;40; United-States
10148;43; Private;228320; HS-grad;9; Married-civ-spouse; Exec-managerial; Husband; White; Male;0;0;40; United-States
10149;23; Private;96585; HS-grad;9; Never-married; Handlers-cleaners; Not-in-family; White; Male;0;0;30; United-States
10150;42; Private;156580; Bachelors;13; Married-civ-spouse; Sales; Wife; White; Female;0;0;40; Puerto-Rico
10151;58; Private;210673; Some-college;10; Married-civ-spouse; Adm-clerical; Wife; White; Female;0;0;40; United-States
10152;52; Local-gov;137753; HS-grad;9; Married-civ-spouse; Other-service; Wife; Black; Female;0;0;20; United-States
10153;29; Private;29865; HS-grad;9; Divorced; Sales; Not-in-family; Amer-Indian-Eskimo; Female;0;0;50; United-States
10154;27; Private;196044; Some-college;10; Married-civ-spouse; Craft-repair; Husband; White; Male;0;0;60; United-States
10155;28; Private;308995; Some-college;10; Never-married; Adm-clerical; Own-child; Black; Female;0;0;40; Jamaica
10156;59; Private;159008; Assoc-acdm;12; Married-civ-spouse; Craft-repair; Husband; White; Male;7298;0;20; United-States
10157;28; Private;362491; HS-grad;9; Never-married; Handlers-cleaners; Own-child; White; Male;0;0;40; United-States
10158;24; Private;94395; Some-college;10; Never-married; Craft-repair; Not-in-family; White; Male;0;0;40; United-States
10159;20; Private;320047; 10th;6; Married-spouse-absent; Handlers-cleaners; Not-in-family; White; Male;0;0;40; United-States
10160;54; Private;98535; Bachelors;13; Married-civ-spouse; Exec-managerial; Husband; White; Male;0;0;40; United-States
10161;65; Private;183170; HS-grad;9; Divorced; Other-service; Not-in-family; White; Male;0;0;25; United-States
10162;18; ?;331511; Some-college;10; Never-married; ?; Own-child; White; Male;0;0;30; United-States
10163;38; Private;195686; Some-college;10; Married-civ-spouse; Craft-repair; Husband; White; Male;0;0;40; United-States
10164;29; Private;178244; HS-grad;9; Married-civ-spouse; Machine-op-inspct; Husband; White; Male;0;0;40; United-States
10165;27; Private;127833; HS-grad;9; Never-married; Adm-clerical; Own-child; Black; Female;0;0;40; United-States
10166;36; Private;269722; Masters;14; Married-civ-spouse; Other-service; Husband; White; Male;0;0;40; United-States
10167;55; State-gov;136819; HS-grad;9; Married-civ-spouse; Protective-serv; Husband; White; Male;0;0;40; United-States
10168;22; Private;205604; 5th-6th;3; Never-married; Machine-op-inspct; Not-in-family; White; Male;0;0;30; Mexico
10169;28; Private;132078; Bachelors;13; Never-married; Prof-specialty; Not-in-family; White; Female;0;0;40; United-States
10170;20; Private;234880; Some-college;10; Never-married; Sales; Own-child; White; Female;0;0;30; United-States
10171;24; Private;196816; Bachelors;13; Married-civ-spouse; Prof-specialty; Husband; White; Male;3908;0;40; United-States
10172;36; Private;237943; Masters;14; Married-civ-spouse; Exec-managerial; Husband; White; Male;15024;0;50; United-States
10173;68; Self-emp-inc;140852; HS-grad;9; Married-civ-spouse; Sales; Husband; White; Male;0;0;40; United-States
10174;49; Self-emp-not-inc;105614; HS-grad;9; Divorced; Sales; Not-in-family; White; Male;0;0;50; United-States
10175;18; Private;83492; 7th-8th;4; Never-married; Machine-op-inspct; Own-child; White; Male;0;0;40; United-States
10176;50; Self-emp-not-inc;225772; Doctorate;16; Divorced; Prof-specialty; Not-in-family; White; Female;0;0;60; United-States
10177;37; Private;242713; 12th;8; Separated; Priv-house-serv; Unmarried; Black; Female;0;0;40; United-States
10178;60; Private;355865; Masters;14; Married-civ-spouse; Exec-managerial; Husband; White; Male;0;0;50; United-States
10179;43; Private;173316; Some-college;10; Married-civ-spouse; Craft-repair; Husband; White; Male;0;0;40; United-States
10180;43; Self-emp-inc;35662; Doctorate;16; Married-civ-spouse; Prof-specialty; Wife; White; Female;0;0;70; United-States
10181;17; Private;297246; 11th;7; Never-married; Priv-house-serv; Own-child; White; Female;0;0;9; United-States
10182;43; Private;108945; Some-college;10; Never-married; Exec-managerial; Not-in-family; White; Female;0;0;50; United-States
10183;39; Private;112158; Some-college;10; Married-civ-spouse; Sales; Husband; White; Male;0;0;26; ?
10184;21; Self-emp-not-inc;57298; Some-college;10; Never-married; Adm-clerical; Own-child; White; Female;0;0;15; United-States
10185;42; Self-emp-not-inc;115323; Doctorate;16; Never-married; Prof-specialty; Not-in-family; White; Male;0;0;7; ?
10186;48; Self-emp-not-inc;164582; Some-college;10; Married-civ-spouse; Farming-fishing; Husband; White; Male;7298;0;60; United-States
10187;56; Private;295067; Bachelors;13; Never-married; Exec-managerial; Not-in-family; White; Male;14084;0;45; United-States
10188;21; Private;177265; Assoc-acdm;12; Never-married; Other-service; Own-child; White; Female;0;0;30; United-States
10189;28; Local-gov;336543; Assoc-acdm;12; Married-civ-spouse; Protective-serv; Husband; Asian-Pac-Islander; Male;0;0;40; Hong
10190;39; Self-emp-not-inc;52870; HS-grad;9; Married-civ-spouse; Craft-repair; Husband; White; Male;0;0;40; United-States
10191;40; Private;316820; 7th-8th;4; Married-civ-spouse; Sales; Husband; White; Male;4064;0;40; United-States
10192;38; Local-gov;200153; Assoc-acdm;12; Never-married; Prof-specialty; Not-in-family; White; Male;0;0;40; United-States
10193;59; Private;453067; Some-college;10; Married-civ-spouse; Prof-specialty; Husband; White; Male;0;0;36; United-States
10194;51; Federal-gov;27166; HS-grad;9; Married-civ-spouse; Tech-support; Husband; White; Male;0;0;40; United-States
10195;19; Private;299598; HS-grad;9; Never-married; Handlers-cleaners; Own-child; White; Male;0;0;16; United-States
10196;23; Private;122048; HS-grad;9; Never-married; Machine-op-inspct; Not-in-family; White; Female;0;0;40; United-States
10197;31; Private;345277; Bachelors;13; Divorced; Prof-specialty; Not-in-family; White; Female;0;0;40; United-States
10198;42; Private;113147; Assoc-acdm;12; Married-civ-spouse; Prof-specialty; Husband; Black; Male;0;0;40; United-States
10199;43; Private;34007; HS-grad;9; Married-civ-spouse; Craft-repair; Husband; White; Male;0;0;40; United-States
10200;45; Private;255014; Some-college;10; Married-civ-spouse; Craft-repair; Husband; White; Male;0;0;55; United-States
10201;34; Private;152667; Some-college;10; Married-civ-spouse; Machine-op-inspct; Husband; White; Male;0;0;35; United-States
10202;21; Private;231053; HS-grad;9; Never-married; Machine-op-inspct; Own-child; White; Male;0;0;30; United-States
10203;34; Private;103651; Some-college;10; Married-civ-spouse; Exec-managerial; Husband; White; Male;0;0;40; United-States
10204;55; Self-emp-inc;124137; Some-college;10; Married-civ-spouse; Sales; Husband; White; Male;0;0;40; United-States
10205;30; Private;198183; Assoc-voc;11; Never-married; Prof-specialty; Not-in-family; White; Female;0;0;40; United-States
10206;29; Private;183627; HS-grad;9; Married-civ-spouse; Machine-op-inspct; Husband; White; Male;3137;0;48; Ireland
10207;19; Private;466458; Some-college;10; Never-married; Adm-clerical; Own-child; White; Female;0;0;20; United-States
10208;45; Self-emp-not-inc;114396; Bachelors;13; Divorced; Prof-specialty; Not-in-family; White; Male;0;0;35; United-States
10209;42; Private;186376; Bachelors;13; Married-civ-spouse; Other-service; Husband; Asian-Pac-Islander; Male;0;0;72; Philippines
10210;32; Private;290964; Bachelors;13; Never-married; Sales; Not-in-family; White; Female;0;1590;40; United-States
10211;90; Self-emp-not-inc;282095; Some-college;10; Married-civ-spouse; Farming-fishing; Husband; White; Male;0;0;40; United-States
10212;44; State-gov;244974; Bachelors;13; Married-civ-spouse; Protective-serv; Husband; White; Male;0;0;44; United-States
10213;34; Self-emp-not-inc;114691; HS-grad;9; Married-civ-spouse; Prof-specialty; Husband; White; Male;0;0;40; United-States
10214;35; Private;107160; 12th;8; Separated; Other-service; Not-in-family; White; Female;0;0;30; United-States
10215;39; Self-emp-not-inc;142573; Some-college;10; Never-married; Craft-repair; Not-in-family; White; Male;0;0;25; United-States
10216;29; Private;203833; Bachelors;13; Never-married; Prof-specialty; Not-in-family; Black; Male;0;0;40; United-States
10217;24; Private;47791; HS-grad;9; Never-married; Other-service; Unmarried; White; Female;0;0;32; United-States
10218;49; Private;133729; Some-college;10; Married-civ-spouse; Other-service; Husband; White; Male;0;0;17; United-States
10219;52; Self-emp-not-inc;135339; Some-college;10; Married-civ-spouse; Craft-repair; Husband; Asian-Pac-Islander; Male;0;0;40; ?
10220;54; Private;135803; Bachelors;13; Married-civ-spouse; Exec-managerial; Husband; Asian-Pac-Islander; Male;15024;0;60; South
10221;31; Private;128591; 9th;5; Divorced; Transport-moving; Not-in-family; White; Male;0;0;40; United-States
10222;44; Private;133853; Some-college;10; Divorced; Exec-managerial; Not-in-family; White; Female;0;0;50; United-States
10223;18; ?;137363; Some-college;10; Never-married; ?; Own-child; White; Female;0;0;30; United-States
10224;27; Self-emp-not-inc;243569; HS-grad;9; Married-civ-spouse; Sales; Husband; White; Male;0;0;40; United-States
10225;24; Private;119156; HS-grad;9; Never-married; Handlers-cleaners; Own-child; White; Male;0;0;40; United-States
10226;30; Private;391114; HS-grad;9; Married-civ-spouse; Handlers-cleaners; Husband; White; Male;0;0;60; United-States
10227;27; Private;252506; Some-college;10; Divorced; Exec-managerial; Own-child; White; Female;0;0;40; United-States
10228;34; State-gov;117503; Bachelors;13; Married-civ-spouse; Adm-clerical; Husband; White; Male;0;0;20; Italy
10229;25; State-gov;117833; Some-college;10; Married-civ-spouse; Exec-managerial; Wife; White; Female;0;0;19; United-States
10230;39; Private;294183; HS-grad;9; Divorced; Exec-managerial; Unmarried; White; Female;0;0;40; United-States
10231;28; Private;394927; Some-college;10; Married-civ-spouse; Tech-support; Husband; White; Male;0;0;40; United-States
10232;51; Self-emp-not-inc;259323; HS-grad;9; Married-civ-spouse; Craft-repair; Husband; White; Male;0;0;70; United-States
10233;21; ?;207988; HS-grad;9; Married-civ-spouse; ?; Other-relative; White; Female;0;0;35; United-States
10234;33; Private;96635; Some-college;10; Never-married; Sales; Not-in-family; Asian-Pac-Islander; Male;0;0;26; South
10235;27; Private;192283; Assoc-voc;11; Never-married; Handlers-cleaners; Own-child; White; Female;0;0;38; United-States
10236;29; Private;214881; HS-grad;9; Never-married; Exec-managerial; Not-in-family; White; Male;0;0;40; United-States
10237;33; State-gov;167474; 10th;6; Married-civ-spouse; Handlers-cleaners; Husband; White; Male;0;0;40; United-States
10238;37; Private;110713; HS-grad;9; Married-civ-spouse; Sales; Husband; White; Male;0;0;50; United-States
10239;20; Private;201204; HS-grad;9; Never-married; Handlers-cleaners; Own-child; White; Male;0;0;40; United-States
10240;24; Private;197666; Bachelors;13; Never-married; Exec-managerial; Not-in-family; White; Female;0;0;40; United-States
10241;29; Private;162002; HS-grad;9; Never-married; Other-service; Own-child; White; Female;0;0;35; United-States
10242;31; Private;263561; Bachelors;13; Married-civ-spouse; Exec-managerial; Husband; White; Male;0;2246;45; United-States
10243;41; Private;224799; Some-college;10; Married-civ-spouse; Craft-repair; Husband; White; Male;0;0;40; United-States
10244;42; Self-emp-not-inc;89942; Some-college;10; Married-civ-spouse; Craft-repair; Husband; White; Male;0;0;40; United-States
10245;20; Private;238685; Some-college;10; Never-married; Sales; Not-in-family; White; Female;0;0;30; United-States
10246;54; Private;38795; 9th;5; Separated; Craft-repair; Unmarried; White; Male;0;0;40; United-States
10247;55; Private;90414; Bachelors;13; Married-spouse-absent; Craft-repair; Unmarried; White; Female;0;0;55; Ireland
10248;21; Private;190805; HS-grad;9; Married-civ-spouse; Handlers-cleaners; Husband; White; Male;0;0;32; United-States
10249;52; Private;23780; Assoc-voc;11; Married-civ-spouse; Exec-managerial; Husband; White; Male;0;1977;45; United-States
10250;19; Private;285263; HS-grad;9; Never-married; Adm-clerical; Own-child; White; Male;0;0;40; United-States
